"pattern","case","rxtype"
"%EPTIFIBATIDE%","include","anti_coagulants"
"%FONDAPARINUX%","include","anti_coagulants"
"%FRAXIPARINE%","include","anti_coagulants"
"%HEP[- ]LOC%","include","anti_coagulants"
"%HEPARIN%","include","anti_coagulants"
"%HEPLOCK%","include","anti_coagulants"
"%HPARIN%","include","anti_coagulants"
"%IDRAPARINUX%","include","anti_coagulants"
"%JANTOVEN%","include","anti_coagulants"
"%LEPIRUDIN%","include","anti_coagulants"
"%LOVENOX%","include","anti_coagulants"
"%MELAGATRAN%","include","anti_coagulants"
"%MIRADON%","include","anti_coagulants"
"%OTAMIXABAN%","include","anti_coagulants"
"%PANWARFIN%","include","anti_coagulants"
"%RIVAROX%","include","anti_coagulants"
"%SULODEXIDE%","include","anti_coagulants"
"%TIBROFIBAN%","include","anti_coagulants"
"%TINZAPARIN%","include","anti_coagulants"
"%TIROFIBAN%","include","anti_coagulants"
"%TRIOFIBAN%","include","anti_coagulants"
"%WA[RF]ARIN%","include","anti_coagulants"
"%WARFARIN%","include","anti_coagulants"
"%XIMELAGATRAN%","include","anti_coagulants"
"%XUBIX%","include","anti_coagulants"
"%BRACELET%","exclude","anti_coagulants"
"%NECKLACE%","exclude","anti_coagulants"
"NOT","exclude","anti_coagulants"
"%/HYDRAL %","include","anti_hypertensions"
"%AL[FS]UZOSIN%","include","anti_hypertensions"
"%ALDOMET%","include","anti_hypertensions"
"%ALSEROXYLON%","include","anti_hypertensions"
"%APRESOLINE%","include","anti_hypertensions"
"%BIDIL%","include","anti_hypertensions"
"%CARDURA%","include","anti_hypertensions"
"%CATAPRES%","include","anti_hypertensions"
"%CATPRES%","include","anti_hypertensions"
"%CLONID %","include","anti_hypertensions"
"%CLONID[IO]NE%","include","anti_hypertensions"
"%CRYPTENAMINE%","include","anti_hypertensions"
"%DEBRISOQUINE%","include","anti_hypertensions"
"%DESERPIDINE%","include","anti_hypertensions"
"%DIAZOXIDE%","include","anti_hypertensions"
"%DOXAZ0SIN%","include","anti_hypertensions"
"%DOXAZO[SC]IN%","include","anti_hypertensions"
"%EUTONYL%","include","anti_hypertensions"
"%GUAANETHIDINE%","include","anti_hypertensions"
"%GUAFACINE%","include","anti_hypertensions"
"%GUAFNACINE%","include","anti_hypertensions"
"%GUANABENZ%","include","anti_hypertensions"
"%GUANADREL%","include","anti_hypertensions"
"%GUANBENZ%","include","anti_hypertensions"
"%GUANETH[IE]DINE%","include","anti_hypertensions"
"%GUANFACINE%","include","anti_hypertensions"
"%HARNAL%","include","anti_hypertensions"
"%HYDRALAZ%","include","anti_hypertensions"
"%HYDRLAZINE%","include","anti_hypertensions"
"%HYLOREL%","include","anti_hypertensions"
"%HYTRIN%","include","anti_hypertensions"
"%ILOPROST%","include","anti_hypertensions"
"%INVERSINE%","include","anti_hypertensions"
"%LOFEXIDINE%","include","anti_hypertensions"
"%LONITEN%","include","anti_hypertensions"
"%MACITENTAN%","include","anti_hypertensions"
"%MECAMYLAMINE%","include","anti_hypertensions"
"%METHYLDOPA%","include","anti_hypertensions"
"%METYLDOPA%","include","anti_hypertensions"
"%METYROSINE%","include","anti_hypertensions"
"%MINOXIDIL%","include","anti_hypertensions"
"%MODERIL%","include","anti_hypertensions"
"%OPSUMIT%","include","anti_hypertensions"
"%PARGYLINE%","include","anti_hypertensions"
"%PRAZOSIN%","include","anti_hypertensions"
"%RAUDIXIN%","include","anti_hypertensions"
"%RAUWOLFIA%","include","anti_hypertensions"
"%RESCINNAMINE%","include","anti_hypertensions"
"%RESERPINE%","include","anti_hypertensions"
"%RESREPINE%","include","anti_hypertensions"
"%RIOCIGUAT%","include","anti_hypertensions"
"%SERPASIL%","include","anti_hypertensions"
"%SILODOSIN%","include","anti_hypertensions"
"%TAMSULOSIN%","include","anti_hypertensions"
"%TENEX%","include","anti_hypertensions"
"%TERAZOSIN%","include","anti_hypertensions"
"%TERZOSIN%","include","anti_hypertensions"
"%TRIMETH[AO]PH[AI]N%","include","anti_hypertensions"
"%UROXATRAL%","include","anti_hypertensions"
"%WYTENSIN%","include","anti_hypertensions"
"HYDRAL %","include","anti_hypertensions"
"%APRACLONIDINE%","exclude","anti_hypertensions"
"NOT","exclude","anti_hypertensions"
"%ABILIFY%","include","antipsychotic"
"%ACETOPHENAZINE%","include","antipsychotic"
"%ARIPIPRAZ%","include","antipsychotic"
"%ARIPIRAZOLE%","include","antipsychotic"
"%ARIPRAZOLE%","include","antipsychotic"
"%ASENAPINE%","include","antipsychotic"
"%ASEPAPINE%","include","antipsychotic"
"%AUETIAPINE%","include","antipsychotic"
"%BREXPIPRAZOLE%","include","antipsychotic"
"%CARIPRAZINE%","include","antipsychotic"
"%CHLORPROMA%","include","antipsychotic"
"%CHLORPROMZINE%","include","antipsychotic"
"%CHLORPROTHIEXENE%","include","antipsychotic"
"%CHLORPROTHIXENE%","include","antipsychotic"
"%CHLORPTHIXENE%","include","antipsychotic"
"%CHLORRPROMAZINE%","include","antipsychotic"
"%CHLRPROTHIXENE%","include","antipsychotic"
"%CLOZAP%","include","antipsychotic"
"%CLOZAPINE%","include","antipsychotic"
"%CLOZARIL%","include","antipsychotic"
"%DROPERIDOL%","include","antipsychotic"
"%ESKALITH%","include","antipsychotic"
"%ETRAFON%","include","antipsychotic"
"%FLUOPERAZINE%","include","antipsychotic"
"%FLUPHEN%","include","antipsychotic"
"%GEODON%","include","antipsychotic"
"%HALDOL%","include","antipsychotic"
"%HALOPER%","include","antipsychotic"
"%HALPERIDOL%","include","antipsychotic"
"%ILOPERIDONE%","include","antipsychotic"
"%LITHANE%","include","antipsychotic"
"%LITHIUM%","include","antipsychotic"
"%LITHOBID%","include","antipsychotic"
"%LITHONATE%","include","antipsychotic"
"%LOXA[PO]INE%","include","antipsychotic"
"%LOXAPIN%","include","antipsychotic"
"%LOXITANE%","include","antipsychotic"
"%LURASIDONE%","include","antipsychotic"
"%MELLARIL%","include","antipsychotic"
"%MELPERONE%","include","antipsychotic"
"%MESORIDAZINE%","include","antipsychotic"
"%METHOTRIMEPRAZINE%","include","antipsychotic"
"%MOBAN%","include","antipsychotic"
"%MOLIDONE%","include","antipsychotic"
"%MOLINDONE%","include","antipsychotic"
"%NAVANE%","include","antipsychotic"
"%OLAN/HALOP%","include","antipsychotic"
"%OLANAPINE%","include","antipsychotic"
"%OLANZ[AE]PINE%","include","antipsychotic"
"%OLANZAP%","include","antipsychotic"
"%OLANZPINE%","include","antipsychotic"
"%OTEPINE%","include","antipsychotic"
"%PALIPEIRDONE%","include","antipsychotic"
"%PALIPERDONE%","include","antipsychotic"
"%PALIPERIDONE%","include","antipsychotic"
"%PALIPSAIDONE%","include","antipsychotic"
"%PERHENAZINE%","include","antipsychotic"
"%PERMITIL%","include","antipsychotic"
"%PERPHEN%","include","antipsychotic"
"%PHERPHENAZINE%","include","antipsychotic"
"%PIMAVANSERIN%","include","antipsychotic"
"%PIMAVASERIN%","include","antipsychotic"
"%PIPERACETAZI[ND]E%","include","antipsychotic"
"%PROCHLORPERAZINE%","include","antipsychotic"
"%PROKETAZINE%","include","antipsychotic"
"%PROLIXIN%","include","antipsychotic"
"%PROMAZINE%","include","antipsychotic"
"%QUETIAPINE%","include","antipsychotic"
"%QUETIIAPINE%","include","antipsychotic"
"%R[IE]SPERIDONE%","include","antipsychotic"
"%RIPIPRAZOLE%","include","antipsychotic"
"%RISERIDONE%","include","antipsychotic"
"%RISPERD%","include","antipsychotic"
"%SEENTIL%","include","antipsychotic"
"%SERENTIL%","include","antipsychotic"
"%SEROQUEL%","include","antipsychotic"
"%SERTINDOLE%","include","antipsychotic"
"%SPARINE%","include","antipsychotic"
"%STELAZINE%","include","antipsychotic"
"%TARACTAN%","include","antipsychotic"
"%THIOIOTHIXENE%","include","antipsychotic"
"%THIOIRDAZINE%","include","antipsychotic"
"%THIORDAZINE%","include","antipsychotic"
"%THIORIDAZINE%","include","antipsychotic"
"%THIORIDAZNE%","include","antipsychotic"
"%THIOTHIX[EI]NE%","include","antipsychotic"
"%THLORPROTHIXENE%","include","antipsychotic"
"%THORAZINE%","include","antipsychotic"
"%TRIFLUOPERAZINE%","include","antipsychotic"
"%TRIFLUPERAZINE%","include","antipsychotic"
"%TRIFLUROPERAZINE%","include","antipsychotic"
"%TRILAFON%","include","antipsychotic"
"%VESPRIN%","include","antipsychotic"
"%ZIPRASIDONE%","include","antipsychotic"
"%ZIPRAZISDONE%","include","antipsychotic"
"%ZQUIDE%","include","antipsychotic"
"%ZYDIS%","include","antipsychotic"
"%ZYPREXA%","include","antipsychotic"
"QUIDE%","include","antipsychotic"
"%BATTERY%","exclude","antipsychotic"
"NOT","exclude","antipsychotic"
"%ATACAND%","include","arb_inhibitors"
"%AVALIDE%","include","arb_inhibitors"
"%BENICAR%","include","arb_inhibitors"
"%CANDESAR%","include","arb_inhibitors"
"%COZAAR%","include","arb_inhibitors"
"%DIOVAN%","include","arb_inhibitors"
"%DOIVAN%","include","arb_inhibitors"
"%ENTRESTO%","include","arb_inhibitors"
"%EPROSARTAN%","include","arb_inhibitors"
"%HYZAAR%","include","arb_inhibitors"
"%HYZAR%","include","arb_inhibitors"
"%IBESARTAN%","include","arb_inhibitors"
"%IBRESARTAN%","include","arb_inhibitors"
"%IRB[EA]SARTAN%","include","arb_inhibitors"
"%IRBERSARTAN%","include","arb_inhibitors"
"%LCZ696%","include","arb_inhibitors"
"%LOSART[/ ]%","include","arb_inhibitors"
"%LOSARTAN%","include","arb_inhibitors"
"%MICARDIS%","include","arb_inhibitors"
"%OLMESART%","include","arb_inhibitors"
"%TELMISART%","include","arb_inhibitors"
"%VALSART%","include","arb_inhibitors"
"%VALSATAN%","include","arb_inhibitors"
"%AGGRENOX%","include","aspirin"
"%ASA[ /]%","include","aspirin"
"%ASPIRIN%","include","aspirin"
"%BUFFERIN%","include","aspirin"
"%EXCEDRIN%","include","aspirin"
"%ACEBUTALOL%","include","betablockers"
"%ACEBUTOLOL%","include","betablockers"
"%ATEN%/CHLOR%","include","betablockers"
"%ATENL%","include","betablockers"
"%ATENOL[ /]%","include","betablockers"
"%ATENOLOL%","include","betablockers"
"%BETAPACE%","include","betablockers"
"%BETAXLOL%","include","betablockers"
"%BETAXOLOL%","include","betablockers"
"%BETAZOLOL%","include","betablockers"
"%BETIMOL%","include","betablockers"
"%BETOPTIC%","include","betablockers"
"%BISOHEXAL%","include","betablockers"
"%BISOPROL%","include","betablockers"
"%BISOPROLOL%","include","betablockers"
"%BISOPROPOL%","include","betablockers"
"%BISORPOLOL%","include","betablockers"
"%BISPROLOL%","include","betablockers"
"%BLOCADREN%","include","betablockers"
"%BREVIBLOC%","include","betablockers"
"%BUCINDOLOL%","include","betablockers"
"%CARTEOLOL%","include","betablockers"
"%CARVEDILOL%","include","betablockers"
"%CARVEDIOLOL%","include","betablockers"
"%COMBIGAN%","include","betablockers"
"%CONCORE%","include","betablockers"
"%COREG %","include","betablockers"
"%CORGARD%","include","betablockers"
"%COSOPT%","include","betablockers"
"%DILATREND%","include","betablockers"
"%ESMLOL%","include","betablockers"
"%ESMOLOL%","include","betablockers"
"%INDERAIDE%","include","betablockers"
"%INDERAL%","include","betablockers"
"%INDERIDE%","include","betablockers"
"%ISTALOL%","include","betablockers"
"%LABETABOL%","include","betablockers"
"%LABETALOL%","include","betablockers"
"%LABETOLOL%","include","betablockers"
"%LOPRESSOR%","include","betablockers"
"%METOOPROLOL%","include","betablockers"
"%METOPRO%","include","betablockers"
"%METOPROLOL%","include","betablockers"
"%NADOLOL%","include","betablockers"
"%NALDOLOL%","include","betablockers"
"%NEBIVOLOL%","include","betablockers"
"%NORMODYNE%","include","betablockers"
"%OCUPRESS%","include","betablockers"
"%OPROLOL%","include","betablockers"
"%PENBUTOLOL%","include","betablockers"
"%PINDODOL%","include","betablockers"
"%PINDOLOL%","include","betablockers"
"%POROPRANOLOL%","include","betablockers"
"%PROPANOLOL%","include","betablockers"
"%PROPRANALOL%","include","betablockers"
"%PROPRANOL%","include","betablockers"
"%PROPRANOLOL%","include","betablockers"
"%PROPRANONOL%","include","betablockers"
"%PRORANOLOL%","include","betablockers"
"%ROPRANOLOL%","include","betablockers"
"%SECTRAL%","include","betablockers"
"%SOTALOL%","include","betablockers"
"%TENORETIC%","include","betablockers"
"%TENORMIN%","include","betablockers"
"%TIMOLOL%","include","betablockers"
"%TIMOPTIC%","include","betablockers"
"%TOPROL[ -]XL%","include","betablockers"
"%TORPOL[ -]XL%","include","betablockers"
"%TRORATE%","include","betablockers"
"%VISKEN%","include","betablockers"
"%ZIAC %","include","betablockers"
"%ADALAT%","include","calcium_channel_blockers"
"%AMIODIPINE%","include","calcium_channel_blockers"
"%AMLODIP%","include","calcium_channel_blockers"
"%AMLODIPINE%","include","calcium_channel_blockers"
"%AMLODPINE%","include","calcium_channel_blockers"
"%BEPRIDEL%","include","calcium_channel_blockers"
"%BEPRIDIL%","include","calcium_channel_blockers"
"%CADUET%","include","calcium_channel_blockers"
"%CALAN[ (#]%","include","calcium_channel_blockers"
"%CARDENE%","include","calcium_channel_blockers"
"%CARDIAZEM%","include","calcium_channel_blockers"
"%CARDIPINE%","include","calcium_channel_blockers"
"%CARDIZEM%","include","calcium_channel_blockers"
"%CARTIA XT%","include","calcium_channel_blockers"
"%CLEVIDEPINE%","include","calcium_channel_blockers"
"%CLEVIDIPINE%","include","calcium_channel_blockers"
"%COVERA%","include","calcium_channel_blockers"
"%DILACOR%","include","calcium_channel_blockers"
"%DILATIAZEM%","include","calcium_channel_blockers"
"%DILITAZEM%","include","calcium_channel_blockers"
"%DILTIAZDM%","include","calcium_channel_blockers"
"%DILTIAZEM%","include","calcium_channel_blockers"
"%DILTIAZEN%","include","calcium_channel_blockers"
"%DILTIZAEM%","include","calcium_channel_blockers"
"%DILTIZEM%","include","calcium_channel_blockers"
"%DYNACIRC%","include","calcium_channel_blockers"
"%EXFORGE%","include","calcium_channel_blockers"
"%FELODIPINE%","include","calcium_channel_blockers"
"%FLUNARIZINE%","include","calcium_channel_blockers"
"%ISOPTIN%","include","calcium_channel_blockers"
"%ISRADAPINE%","include","calcium_channel_blockers"
"%ISRADIPINE%","include","calcium_channel_blockers"
"%ISRAPIDINE%","include","calcium_channel_blockers"
"%LOTREL%","include","calcium_channel_blockers"
"%MIBEFRADIL%","include","calcium_channel_blockers"
"%NICARDAPINE%","include","calcium_channel_blockers"
"%NICARDIPENE%","include","calcium_channel_blockers"
"%NICARDIPINE%","include","calcium_channel_blockers"
"%NIDEDIPINE%","include","calcium_channel_blockers"
"%NIEDIPINE%","include","calcium_channel_blockers"
"%NIFEDEPINE%","include","calcium_channel_blockers"
"%NIFEDICAL%","include","calcium_channel_blockers"
"%NIFEDIPINE%","include","calcium_channel_blockers"
"%NIMODIPINE%","include","calcium_channel_blockers"
"%NIMOTOP%","include","calcium_channel_blockers"
"%NISOLDIPINE%","include","calcium_channel_blockers"
"%NISOLIDIPINE%","include","calcium_channel_blockers"
"%NORVASC%","include","calcium_channel_blockers"
"%PERAPAMIL%","include","calcium_channel_blockers"
"%PLENDIL%","include","calcium_channel_blockers"
"%PROCARDIA%","include","calcium_channel_blockers"
"%SULAR%","include","calcium_channel_blockers"
"%TAZTIA%","include","calcium_channel_blockers"
"%TIAZAC%","include","calcium_channel_blockers"
"%VASCOR%","include","calcium_channel_blockers"
"%VERAMPAMIL%","include","calcium_channel_blockers"
"%VERAPAM%","include","calcium_channel_blockers"
"%VERAPAMIL%","include","calcium_channel_blockers"
"%VERELAN%","include","calcium_channel_blockers"
"%VERZZAPAMIL%","include","calcium_channel_blockers"
"%COVERAGE%","exclude","calcium_channel_blockers"
"NOT","exclude","calcium_channel_blockers"
"%AMBENONIUM%","include","dementia"
"%ARICEPT%","include","dementia"
"%ATOMOXETINE%","include","dementia"
"%BETHAECHOL%","include","dementia"
"%BETHANECHOL%","include","dementia"
"%BETHANECOL%","include","dementia"
"%CODERGOCRINE%","include","dementia"
"%DIHYDROGENATED ERGOT%","include","dementia"
"%DONEPEZIL%","include","dementia"
"%ERGOLOID%","include","dementia"
"%EROGOLOID%","include","dementia"
"%GALANTAMINE%","include","dementia"
"%HYDERGINE%","include","dementia"
"%HYOSCYAMUS%","include","dementia"
"%MEMANTINE%","include","dementia"
"%MESTINON%","include","dementia"
"%NAMENDA%","include","dementia"
"%NEMANTINE%","include","dementia"
"%NEOSTGMNE METH%","include","dementia"
"%NEOSTIG%","include","dementia"
"%NEOSTIGMINE%","include","dementia"
"%PHYSOSTIG%","include","dementia"
"%PHYSOSTIGMINE%","include","dementia"
"%PYRIDOSTIGMINE%","include","dementia"
"%RILUZOLE%","include","dementia"
"%RIVASTIGMIN%","include","dementia"
"%RIVASTIGMINE%","include","dementia"
"%STRATTERA%","include","dementia"
"%TACRINE%","include","dementia"
"%URECHOLINE%","include","dementia"
"%CEDILANID%","include","digoxin"
"%CRYSTODIGIN%","include","digoxin"
"%DESLANOSIDE%","include","digoxin"
"%DIGIBIND%","include","digoxin"
"%DIGITALIS%","include","digoxin"
"%DIGITEK%","include","digoxin"
"%DIGITOXIN%","include","digoxin"
"%DIGOXIN%","include","digoxin"
"%LANOXICAP%","include","digoxin"
"%LANOXIN%","include","digoxin"
"%PURODIGIN%","include","digoxin"
"%alogliptin%","include","dpp4_alogliptin"
"%dutogliptin%","include","dpp4_inv"
"%linagliptin%","include","dpp4_linagliptin"
"%saxagliptin%","include","dpp4_saxagliptin"
"%sitaglipt[ai]n%","include","dpp4_sitagliptin"
"%sitgaliptin%","include","dpp4_sitagliptin"
"%stiagliptin%","include","dpp4_sitagliptin"
"%vildagliptin%","include","dpp4_vildagliptin"
"%gliclazide%","include","gliclazide"
"%amaryl%","include","glimepiride"
"%amryl%","include","glimepiride"
"%avandaryl%","include","glimepiride"
"%duetact%","include","glimepiride"
"%glimep%","include","glimepiride"
"%nateglinide%","include","glinide"
"%repaglinide%","include","glinide"
"%glipizide%","include","glipizide"
"%glucotrol%","include","glipizide"
"%metaglip%","include","glipizide"
"%dulaglutide%","include","glp1_dulaglutide"
"%byetta%","include","glp1_exenatide"
"%exenatide%","include","glp1_exenatide"
"%extenatide%","include","glp1_exenatide"
"%albiglutide%","include","glp1_inv"
"%glymera%","include","glp1_inv"
"%taspoglutide%","include","glp1_inv"
"%liraglutide%","include","glp1_liraglutide"
"%lixi [12]0%","include","glp1_lixisenatide"
"%lixisenatide%","include","glp1_lixisenatide"
"%soliqua%","include","glp1_lixisenatide"
"%semaglutide%","include","glp1_semaglutide"
"%diabeta%","include","glyburide"
"%glibenc%","include","glyburide"
"%glucovance%","include","glyburide"
"%glybur%","include","glyburide"
"%glynase%","include","glyburide"
"%glyyburide%","include","glyburide"
"%micronase%","include","glyburide"
"%[- ]lantus%","include","insulin"
"%[0-9]00[- ]U%","include","insulin"
"%[0-9]00U%","include","insulin"
"%50[-/]50%","include","insulin"
"%70[-/]30%","include","insulin"
"%75[-/]25%","include","insulin"
"%aspart%","include","insulin"
"%beef%","include","insulin"
"%detemir%","include","insulin"
"%determir%","include","insulin"
"%exubera%","include","insulin"
"%glargine%","include","insulin"
"%glulisine%","include","insulin"
"%hum%","include","insulin"
"%humalog%","include","insulin"
"%humulin%","include","insulin"
"%innolet%","include","insulin"
"%ins%","include","insulin"
"%insulatard%","include","insulin"
"%lente%","include","insulin"
"%levemir%","include","insulin"
"%lispro%","include","insulin"
"%monotard%","include","insulin"
"%novo fine%","include","insulin"
"%novofine%","include","insulin"
"%novolin%","include","insulin"
"%novolog%","include","insulin"
"%novopen%","include","insulin"
"%pork%","include","insulin"
"%solostar%","include","insulin"
"%U[- ][0-9]00%","include","insulin"
"%U[0-9]00%","include","insulin"
"%ulin%","include","insulin"
"%velosulin%","include","insulin"
"%[bcrt]ulin%","exclude","insulin"
"%accord%","exclude","insulin"
"%batteries%","exclude","insulin"
"%battery%","exclude","insulin"
"%bromelains%","exclude","insulin"
"%dressing%","exclude","insulin"
"%insert%","exclude","insulin"
"%rins%","exclude","insulin"
"%study%","exclude","insulin"
"%sutilains%","exclude","insulin"
"NOT","exclude","insulin"
